emp_id,Last_Nm,First_Nm,Full_Name,Email,Dept_Name,UserName,OfficePhone,IsActive,Created,CreatedBy,Modified,ModifiedBy,RowVersion,CurrentUserName
19,Solarflare,Phoenix,Phoenix Solarflare,psolarflare@acmeco.net,,psolarflare,555-555-3475,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,psolarflare
20,Nighthawk,Raven,Raven Nighthawk,rnighthawk@acmeco.net,,rnighthawk,8348,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,rnighthawk
21,Stardust,Orion,Orion Stardust,ostardust@acmeco.net,,ostardust,555-555-3215,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,ostardust
22,Thunderclap,Storm,Storm Thunderclap,sthunderclap@acmeco.net,,sthunderclap,555-555-3221,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,sthunderclap
23,Leafwhisper,Willow,Willow Leafwhisper,wleafwhisper@acmeco.net,,wleafwhisper,555-555-3322,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,wleafwhisper
24,Firestone,Blaze,Blaze Firestone,bfirestone@acmeco.net,,bfirestone,8327,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,bfirestone
25,Mistwalker,Vapor,Vapor Mistwalker,vmistwalker@acmeco.net,,vmistwalker,555-555-3259,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,vmistwalker
26,Lightbringer,Helios,Helios Lightbringer,hlightbringer@acmeco.net,,hlightbringer,555-555-3365,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,hlightbringer
27,Ironheart,Steel,Steel Ironheart,sironheart@acmeco.net,,sironheart,555-555-3301,FALSE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,4,sironheart
28,Dreamweaver,Morpheus,Morpheus Dreamweaver,mdreamweaver@acmeco.net,,mdreamweaver,8306,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,mdreamweaver
29,Skydancer,Celeste,Celeste Skydancer,cskydancer@acmeco.net,,cskydancer,,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,cskydancer
30,Earthshaker,Terra,Terra Earthshaker,tearthshaker@acmeco.net,,tearthshaker,8349,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,tearthshaker
31,Wavecrest,Marina,Marina Wavecrest,mwavecrest@acmeco.net,,mwavecrest,555-555-3282,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,mwavecrest
32,Windrider,Gale,Gale Windrider,gwindrider@acmeco.net,,gwindrider,555-555-3406,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,gwindrider
33,Frostbloom,Crystal,Crystal Frostbloom,cfrostbloom@acmeco.net,,cfrostbloom,555-555-3369,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,cfrostbloom
34,Sunseeker,Sol,Sol Sunseeker,ssunseeker@acmeco.net,,ssunseeker,555-555-3323,FALSE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,3,ssunseeker
35,Moonbeam,Selene,Selene Moonbeam,smoonbeam@acmeco.net,,smoonbeam,8308,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,smoonbeam
36,Stormchaser,Tempest,Tempest Stormchaser,tstormchaser@acmeco.net,,tstormchaser,555-555-3367,FALSE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,3,tstormchaser
37,Shadowdancer,Umbra,Umbra Shadowdancer,ushadowdancer@acmeco.net,,ushadowdancer,8322,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,ushadowdancer
38,Stargazer,Cosmos,Cosmos Stargazer,cstargazer@acmeco.net,,cstargazer,555-555-3550,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,3,cstargazer
39,Thunderheart,Volt,Volt Thunderheart,vthunderheart@acmeco.net,,vthunderheart,555-555-3446,TRUE,10/10/2011,ACME\admin,4/8/2014,ACME\admin,2,vthunderheart
